RK,TIERS,PLAYER NAME,TEAM,FAN PTS,PASSYDS,PASSTD,REC,RECYDS,RECTD,ATT,RUSHYDS,RUSHTD
408,14,Pharaoh Brown,HOU,15.1,0,0,23,171,0,0,0,0
409,14,Tony Jones Jr.,NO,17.1,0,0,5,29,0,54,142,0
410,14,Zach Pascal,PHI,56.5,0,0,38,384,3,2,21,0
411,14,Tutu Atwell,LAR,0,0,0,0,0,0,0,0,0
412,14,Derrick Gore,FA,48.1,0,0,8,105,0,51,256,2
413,14,Abram Smith,NO,0,0,0,0,0,0,0,0,0
414,14,Craig Reynolds,DET,28.2,0,0,7,52,0,55,230,0
415,14,Anthony McFarland Jr.,PIT,1.4,0,0,1,11,0,3,3,0
416,14,Joe Flacco,NYJ,23.82,338,3,0,0,0,2,3,0
417,14,Geoff Swaim,TEN,39,0,0,31,210,3,0,0,0
418,14,Antonio Brown,FA,79.1,0,0,42,545,4,1,6,0
419,15,Keelan Cole Sr.,LV,50.9,0,0,28,449,1,0,0,0
420,15,Justin Watson,KC,0,0,0,0,0,0,0,0,0
421,15,Mack Hollins,LV,46.3,0,0,14,223,4,0,0,0
422,15,Riley Patterson,DET,59,0,0,0,0,0,0,0,0
423,15,Ty Chandler,MIN,0,0,0,0,0,0,0,0,0
424,15,Justice Hill,BAL,0,0,0,0,0,0,0,0,0
425,15,Will Dissly,SEA,29.1,0,0,21,231,1,0,0,0
426,15,Tylan Wallace,BAL,2.3,0,0,2,23,0,0,0,0
427,15,Freddie Swain,SEA,61.5,0,0,25,343,4,5,32,0
428,15,Blake Jarwin,FA,21.6,0,0,11,96,2,0,0,0
429,15,N'Keal Harry,CHI,16.4,0,0,12,184,0,0,0,0
430,15,Eric Ebron,FA,20.5,0,0,12,84,1,1,1,1
431,15,Tyrod Taylor,NYG,86.74,966,5,0,0,0,19,151,3
432,15,Mike Boone,DEN,5.7,0,0,2,22,0,4,35,0
433,15,Tyler Huntley,BAL,86.64,1081,3,0,0,0,47,294,2
434,15,Jamal Agnew,JAC,52,0,0,24,229,1,7,111,1
435,15,Kalif Raymond,DET,84.4,0,0,48,576,4,4,28,0
436,15,Sam Howell,WAS,0,0,0,0,0,0,0,0,0
437,15,Jeremy Ruckert,NYJ,0,0,0,0,0,0,0,0,0
438,15,Kyle Juszczyk,SF,43.8,0,0,30,296,1,8,22,1
439,15,Antoine Wesley,ARI,38.8,0,0,19,208,3,0,0,0
440,15,Auden Tate,FA,9.9,0,0,3,39,1,0,0,0
441,15,Demetric Felton Jr.,CLE,32.5,0,0,18,181,2,7,24,0
442,15,Tarik Cohen,FA,0,0,0,0,0,0,0,0,0
443,15,Jordan Mason,SF,0,0,0,0,0,0,0,0,0
444,15,Chigoziem Okonkwo,TEN,0,0,0,0,0,0,0,0,0
445,15,Carlos Hyde,FA,33.8,0,0,12,65,0,72,253,1
446,15,Jeremy McNichols,PIT,45.6,0,0,28,240,1,41,156,0
447,15,Tyrell Williams,FA,1.4,0,0,2,14,0,0,0,0
448,15,Jake Ferguson,DAL,0,0,0,0,0,0,0,0,0
449,15,Ihmir Smith-Marsette,MIN,23.6,0,0,5,116,2,0,0,0
450,15,Ryan Santoso,NYG,18,0,0,0,0,0,0,0,0
451,15,Quinn Nordin,FA,0,0,0,0,0,0,0,0,0
452,15,Chris Herndon IV,FA,10,0,0,4,40,1,0,0,0
453,15,Dare Ogunbowale,HOU,37.1,0,0,13,114,1,43,137,1
454,15,Ben Skowronek,LAR,13.3,0,0,11,133,0,0,0,0
455,15,Gardner Minshew II,PHI,34.66,439,4,0,0,0,9,21,0
456,15,Jalen Wydermyer,NE,0,0,0,0,0,0,0,0,0
457,15,Denzel Mims,NYJ,13.3,0,0,8,133,0,0,0,0
458,15,Le'Veon Bell,FA,33.1,0,0,5,30,1,39,101,2
459,15,Aldrick Rosas,FA,22,0,0,0,0,0,0,0,0
460,15,Jermar Jefferson,DET,21.7,0,0,4,23,0,15,74,2
461,15,DeSean Jackson,FA,55.8,0,0,20,454,2,1,4,0
462,15,Simi Fehoko,DAL,0,0,0,0,0,0,0,0,0
463,15,Gary Brightwell,NYG,1,0,0,1,6,0,1,4,0
464,15,Ryquell Armstead,JAC,9.6,0,0,3,16,0,15,80,0
465,15,Cyril Grayson Jr.,FA,34.6,0,0,10,212,2,1,14,0
466,15,Ian Thomas,CAR,18.8,0,0,18,188,0,0,0,0
467,15,Jordan Howard,FA,60.5,0,0,2,19,0,86,406,3
468,15,Durham Smythe,MIA,36,0,0,34,357,0,2,3,0
469,15,Kennedy Brooks,PHI,0,0,0,0,0,0,0,0,0
470,15,Jordan Akins,NYG,17.7,0,0,24,214,0,1,3,0
471,15,Royce Freeman,HOU,24.6,0,0,10,77,0,56,169,0
472,15,Sam Ficken,FA,0,0,0,0,0,0,0,0,0
473,15,Carlos Martinez,DAL,0,0,0,0,0,0,0,0,0
474,15,Jimmy Graham,FA,36.7,0,0,14,167,3,0,0,0
475,15,Justyn Ross,KC,0,0,0,0,0,0,0,0,0
476,15,Tyler Kroft,SF,23.3,0,0,16,173,1,0,0,0
477,15,James O'Shaughnessy,CHI,26.4,0,0,24,244,0,0,0,0
478,15,Ryan Griffin,CHI,38.1,0,0,27,261,2,0,0,0
479,15,Jashaun Corbin,NYG,0,0,0,0,0,0,0,0,0
480,15,Phillip Dorsett II,HOU,11,0,0,7,110,0,1,0,0
481,15,Blake Bell,KC,9.7,0,0,9,87,0,4,10,0
482,15,Cole Turner,WAS,0,0,0,0,0,0,0,0,0
483,15,Dennis Houston,DAL,0,0,0,0,0,0,0,0,0
484,15,Montrell Washington,DEN,0,0,0,0,0,0,0,0,0
485,15,Jacob Harris,LAR,0,0,0,0,0,0,0,0,0
486,15,DeAndre Carter,LAC,62.5,0,0,24,296,3,10,89,0
487,15,Jonathan Ward,ARI,6.7,0,0,3,34,0,9,33,0
488,15,Tajae Sharpe,CHI,23,0,0,25,230,0,0,0,0
489,15,Maxx Williams,ARI,25.3,0,0,16,193,1,0,0,0
490,15,James McCourt,JAC,0,0,0,0,0,0,0,0,0
491,15,Noah Gray,KC,9.6,0,0,7,36,1,0,0,0
